State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8525165369860597	0.1087331325394217	0.038166830677367106	0.0	0.0	1.9057343886635703E-4	1.3199042583020232E-5	4.878486996537949E-5	3.309424457367663E-4	0.0
2	0.06412408233608728	0.7729053860486081	0.005768942896585273	7.511207364688243E-4	2.06175444989334E-4	0.013718072925742262	0.0020856693015494586	0.004391051330979194	0.023379287092924805	0.1126702118860654
3	0.039194326712808716	0.010857719494240315	0.8730171506520886	0.054264485460934486	0.01755039613132137	0.0036089628398242248	0.001506958708782405	0.0	0.0	0.0
4	0.0	5.710904818640167E-4	0.023296939070217865	0.9131405897967154	0.03638529479620677	0.02650117608763911	0.0	1.0490976735677447E-4	0.0	0.0
5	0.0	0.0	0.012444101852028858	0.06106518303609546	0.8517018702624828	0.03340821820216441	0.04138062664722841	0.0	0.0	0.0
6	3.738091343213337E-5	0.004319001577040061	6.238755509568047E-4	0.010539456454671265	0.007844405075181818	0.9250175993438697	0.04372979162324116	9.356200850022647E-4	0.0032515986811747473	0.0037012706954300065
7	7.486363156958237E-6	8.877445956009572E-4	2.5747451128914285E-4	0.0	0.01230025007768248	0.056164446816860905	0.9299085649977014	4.7403263770806923E-4	0.0	0.0
8	3.227511370277025E-5	0.0035611001673590418	0.0	1.26268935278197E-4	0.0	0.002498665963819664	9.392185963458682E-4	0.8837780417110068	0.10906442951248746	0.0
9	5.890983210234851E-6	6.557720523759033E-4	0.0	0.0	0.0	2.8227041003089573E-4	0.0	0.003446365735335433	0.9931519563969712	0.002457744422076254
10	0.0	0.012644919664399212	0.0	0.0	0.0	0.0012594580377027853	0.0	0.0	0.009926153837983863	0.9761694684599143
